url,compressed_size,decompressed_size,time
verizonwireless.com,14769,63273,0.47029972076416016
6.cn,158713,761050,3.0403590202331543
xe.com,10373,43877,0.345306396484375
bigpoint.com,18725,85681,0.4781341552734375
drudgereport.com,16089,46486,0.31948089599609375
jimdo.com,11894,46220,0.367124080657959
google.az,19398,60770,0.390017032623291
yellowpages.com,23451,120679,0.5374360084533691
vnexpress.net,27166,107470,0.5742621421813965
pornerbros.com,10321,59458,0.24499654769897458
mihanblog.com,7645,25742,0.27454376220703125
farsnews.com,19577,92139,0.4370260238647461
expedia.com,33633,158347,0.666813850402832
duowan.com,37175,211284,0.7610082626342773
abril.com.br,31300,173602,0.6730389595031738
hubpages.com,7420,22613,0.24931669235229492
singlessalad.com,10875,39907,0.2640557289123535
irctc.co.in,8063,29490,0.24979591369628906
searchfunmoods.com,1719,4973,0.05639314651489258
hatena.ne.jp,25933,118730,0.5852293968200684
jrj.com.cn,33673,128005,0.601496696472168
22find.com,14853,55984,0.36455869674682617
surveymonkey.com,6572,22075,0.20762920379638672
9gag.com,12129,69217,0.3397679328918457
youm7.com,17287,71360,0.43045520782470703
mynet.com,32640,122969,0.6275343894958496
mixi.jp,4388,13979,0.15472412109375
speedtest.net,6202,19941,0.18401861190795898
pixnet.net,11045,44452,0.26223182678222656
roblox.com,6479,25689,0.20630598068237305
onlinesbi.com,3968,13953,0.1374340057373047
indianrail.gov.in,5566,30267,0.22248268127441406
blogspot.ru,29170,103394,0.5753183364868164
h2porn.com,9366,57543,0.40049314498901367
kankan.com,66892,345799,1.2270760536193848
repubblica.it,63035,333067,1.2353253364562988
blogspot.it,27952,100461,0.4693150520324707
mailchimp.com,4749,13968,0.16014814376831055
filestube.com,4604,14058,0.154266357421875
stackexchange.com,7768,44380,0.23852825164794922
bloomberg.com,38033,181749,0.7864570617675781
squidoo.com,14927,85482,0.3423905372619629
monster.com,88428,377057,1.5952491760253906
189.cn,3358,11302,0.11655092239379883
subito.it,5680,20008,0.20538806915283203
perfectgirls.net,53816,376568,1.2074732780456543
eazel.com,13298,77625,0.4194355010986328
blogspot.jp,27879,100316,0.589146614074707
virgilio.it,51996,214097,1.0471606254577637
123rf.com,15576,66920,0.3664851188659668
backpage.com,11193,105697,0.3464698791503906
meetup.com,13372,72562,0.3986644744873047
porntube.com,17223,123636,0.4776906967163086
tuvaro.com,2981,7960,0.12223243713378905
news.com.au,41143,247237,0.8502388000488281
lowes.com,11410,50980,0.3695344924926758
kompas.com,35210,122732,0.6125736236572266
peyvandha.ir,2306,6942,0.03780364990234375
sunporno.com,12634,117492,0.3937959671020508
maktoob.com,45594,212804,0.8591270446777344
tmz.com,46877,253087,0.9287190437316895
businessinsider.com,46077,278343,1.056835651397705
thesun.co.uk,58374,430560,1.3075971603393555
gutefrage.net,28843,167681,0.7292938232421875
porn.com,12956,52991,0.3111386299133301
google.sk,28594,101422,0.5687642097473145
focus.cn,3537,13251,0.13380765914916992
skyrock.com,16092,77184,0.41422605514526367
softpedia.com,26643,145044,0.6835675239562988
rayli.com.cn,48499,297249,1.074671745300293
latimes.com,60873,314331,1.0779356956481934
kinopoisk.ru,38456,178800,0.7962679862976074
ctrip.com,28708,130803,0.5750489234924316
disney.go.com,20091,79419,0.4743623733520508
mapquest.com,29528,134790,0.6565523147583008
xhamstercams.com,14652,81764,0.39127111434936523
fatakat.com,8560,54590,0.26398658752441406
qvo6.com,7219,19930,0.24544715881347656
24h.com.vn,36856,161249,0.8348345756530762
odesk.com,3959,13963,0.13966083526611328
newegg.com,59536,301779,1.2063241004943848
oneindia.in,92559,234730,1.3268828392028809
55bbs.com,62606,303017,1.1926054954528809
blogspot.de,28021,100628,0.5600166320800781
babytree.com,41795,190900,1.027541160583496
youtube-mp3.org,2365,5878,0.08459806442260742
yandex.com.tr,41783,149206,0.8098936080932617
keezmovies.com,13143,101712,0.4518294334411621
trulia.com,12866,40354,0.27007579803466797
docin.com,28441,158197,0.6916332244873047
chip.de,41783,164828,0.7404661178588867
yihaodian.com,46903,184901,0.9005284309387207
elpais.com,52990,228766,0.9558391571044922
sears.com,22143,83720,0.5691266059875488
haberturk.com,59392,334451,1.2543058395385742
snapdeal.com,44845,345502,1.009376049041748
tabnak.ir,36616,229089,0.7577848434448242
mercadolibre.com.ar,20106,85610,0.43428659439086914
wretch.cc,17036,86399,0.45279502868652344
seomoz.org,5257,17006,0.18810749053955078
macys.com,12395,60013,0.30390262603759766
informer.com,1676,5686,0.0652623176574707
sulekha.com,25378,124759,0.6436824798583984
yxlady.com,34249,98205,0.5702757835388184
jabong.com,43020,296555,0.9649109840393066
haber7.com,38730,193759,0.7769227027893066
alphaporno.com,16808,132906,0.47156572341918945
clickbank.com,7470,30740,0.2758049964904785
blog.163.com,65726,344894,1.2831592559814453
free-tv-video-online.me,6949,23283,0.24116992950439453
interia.pl,40805,173116,0.7670116424560547
pornhublive.com,17687,89168,0.491950511932373
zoosk.com,4266,15244,0.1838231086730957
so-net.ne.jp,23668,91385,0.5054211616516113
fucked-tube.com,36818,189300,0.758507251739502
engadget.com,17724,70246,0.38280248641967773
tabelog.com,20567,105539,0.46966552734375
chaturbate.com,18643,104469,0.5687117576599121
typepad.com,5707,25288,0.184478759765625
vipshop.com,28029,160088,0.6493020057678223
r2games.com,6734,27994,0.2545356750488281
wetter.com,54214,254498,1.2512540817260742
oracle.com,9241,31506,0.2397751808166504
myntra.com,18178,145812,0.5676841735839844
mgid.com,4857,14967,0.14960527420043945
retailmenot.com,11466,49423,0.278778076171875
turbobit.net,7442,25376,0.26862382888793945
kinox.to,9213,44338,0.2559781074523926
blackhatworld.com,10146,38748,0.23931264877319336
commentcamarche.net,14465,74693,0.43129682540893555
aeriagames.com,13019,56051,0.44750452041625977
careerbuilder.com,13138,41625,0.33489465713500977
meituan.com,15960,70107,0.3555917739868164
zimbio.com,16680,72887,0.36753177642822266
balagana.net,598,1681,0.027480125427246094
adultadworld.com,4751,12200,0.14939546585083008
wunderground.com,21973,105068,0.5126357078552246
milanuncios.com,11904,59952,0.3113222122192383
moneycontrol.com,54694,277519,1.2139081954956055
lady8844.com,35105,190049,0.7547187805175781
battle.net,6598,25608,0.2429819107055664
xda-developers.com,16092,79085,0.4450869560241699
fhserve.com,1100,2893,0.04430055618286133
tokobagus.com,9798,43953,0.34415721893310547
mpnrs.com,238,292,0.012733936309814453
marktplaats.nl,9539,55863,0.28918027877807617
citibank.com,20501,115993,0.49245357513427734
ancestry.com,11023,35835,0.346682071685791
sberbank.ru,18360,84924,0.49659013748168945
bitly.com,4003,9319,0.12836456298828125
ensonhaber.com,24447,120576,0.4539632797241211
suning.com,77659,444385,1.471705436706543
issuu.com,1843,6221,0.07211923599243164
time.com,16537,61795,0.37914276123046875
ucoz.com,8428,32184,0.29889822006225586
norton.com,13467,62019,0.31932592391967773
forgeofempires.com,8809,34172,0.31391143798828125
sape.ru,3507,8810,0.12336730957031251
onlylady.com,33280,151219,0.561974048614502
pcgames.com.cn,72748,322999,1.4182567596435547
joomla.org,7792,31932,0.21122455596923828
allrecipes.com,27473,90390,0.5961203575134277
webmoney.ru,8139,29650,0.2550077438354492
ad6media.fr,4550,14639,0.15653371810913086
intoday.in,11116,61975,0.37354230880737305
over-blog.com,6535,21352,0.22268056869506836
foxsports.com,42385,266777,0.9024596214294434
google.bg,29262,104159,0.5547380447387695
facenama.com,3408,14189,0.08458375930786133
examiner.com,15338,50178,0.44506072998046875
elmundo.es,39204,175562,0.9299039840698242
lenta.ru,14711,53018,0.30028581619262695
315che.com,38101,206405,0.7813453674316406
mercadolibre.com.mx,17576,70735,0.29547691345214844
freelancer.com,63444,239427,1.1775994300842285
ezinearticles.com,21108,98391,0.5186939239501953
bhaskar.com,107525,478307,2.187016010284424
techcrunch.com,33073,163470,0.6659579277038574
letitbit.net,9056,35213,0.27478933334350586
altervista.org,8668,28735,0.352175235748291
cbsnews.com,25803,111273,0.5606698989868164
nydailynews.com,99562,308531,1.7319917678833008
exblog.jp,13543,65455,0.31795501708984375
priceline.com,35537,223760,0.7664132118225098
corriere.it,73796,398174,1.437382698059082
bitshare.com,7270,24458,0.21675348281860352
gumtree.com,15809,120831,0.4424595832824707
video-one.com,62720,314385,1.1684679985046387
4tube.com,16702,153627,0.5155086517333984
chexun.com,41084,197400,0.8241558074951172
okcupid.com,6941,17754,0.2634739875793457
tlbb8.com,952,2341,0.0375056266784668
say-move.org,7936,32249,0.20935773849487305
xbox.com,7820,37618,0.23186683654785156
babycenter.com,30725,104121,0.5475926399230957
subscene.com,4764,16874,0.17913341522216797
rtl.de,35114,236374,0.8005261421203613
weather.com.cn,23868,107663,0.48888206481933594
foursquare.com,5523,14237,0.1708507537841797
list-manage.com,4629,14249,0.15531539916992188
worldstarhiphop.com,17656,118995,0.4889369010925293
888.com,11912,43865,0.3986048698425293
codecanyon.net,15230,75338,0.349733829498291
bluehost.com,5707,18956,0.20781278610229492
hotels.com,15947,61923,0.3609609603881836
bodybuilding.com,11096,48876,0.35389184951782227
leagueoflegends.com,13064,72656,0.4170703887939453
ibm.com,3901,13592,0.14226913452148438
speedanalysis.net,3965,11038,0.13219118118286133
depositfiles.com,9078,26997,0.30646324157714844
yandex.kz,40146,153396,0.7982993125915527
way2sms.com,1166,2981,0.045070648193359375
doc88.com,20989,95069,0.4429316520690918
tenpay.com,183,210,0.005347728729248047
nokia.com,5782,33953,0.21105527877807617
infusionsoft.com,9929,46657,0.25282859802246094
v9.com,16127,72626,0.40784597396850586
baomihua.com,4937,14761,0.14534711837768555
google.co.nz,27291,98508,0.577390193939209
17173.com,53266,269150,1.109330654144287
gamespot.com,25097,170414,0.674598217010498
clicksvenue.com,2728,7994,0.045392513275146484
bannersbroker.com,5586,17484,0.19492149353027344
sapo.pt,54812,365764,1.5337753295898438
twitpic.com,7870,32347,0.2457857131958008
tgbus.com,19877,89178,0.44728517532348633
mcafee.com,5600,17474,0.16480207443237305
realtor.com,28085,120747,0.5195236206054688
haizhangs.com,1579,3074,0.05367755889892578
linkwithin.com,2052,5937,0.07610797882080078
fanpop.com,12300,46914,0.3162574768066406
sureonlinefind.com,1224,3397,0.04635334014892578
google.com.kw,20400,64837,0.46231508255004883
habrahabr.ru,18620,82411,0.4860877990722656
musica.com,8646,40973,0.2755093574523926
nhl.com,25345,105175,0.5071878433227539
force.com,11023,57981,0.32418012619018555
lifehacker.com,21661,124740,0.4887747764587403
google.lk,27110,97690,0.5463409423828125
ebay.fr,16378,76967,0.37268877029418945
haxiu.com,38361,172271,0.7512140274047852
cj.com,12148,63288,0.29708385467529297
livescore.com,5149,46889,0.19680500030517578
gismeteo.ru,15403,60423,0.37957191467285156
searchengines.ru,13199,61919,0.3198075294494629
gap.com,78688,355462,1.544332504272461
telexfree.com,6706,30633,0.20714044570922852
appround.net,3353,10439,0.1182413101196289
viva.co.id,25718,114892,0.6050300598144531
cloob.com,12047,48762,0.3338146209716797
timeanddate.com,7185,24030,0.19437789916992188
vk.me,5431,15978,0.15594720840454102
okwave.jp,52727,317256,1.1619043350219727
cheshi.com.cn,41859,277792,0.9831523895263673
ellechina.com,23449,127772,0.5968284606933594
wiktionary.org,7186,35890,0.2714061737060547
metacafe.com,17112,74722,0.3835272789001465
lenovo.com,14806,89512,0.3750753402709961
sky.com,54597,238437,1.1916518211364746
cookpad.com,21376,76912,0.5522012710571289
istockphoto.com,9928,36824,0.2992701530456543
rottentomatoes.com,34887,178868,0.7639241218566895
elance.com,13309,81141,0.3471183776855469
xtube.com,12857,114848,0.49715042114257807
sporx.com,2263,4647,0.07426738739013672
itau.com.br,13021,87232,0.39908409118652344
blogspot.kr,27938,100437,0.5456113815307617
avazutracking.net,7863,55122,0.24770259857177734
19lou.com,37431,248441,0.829002857208252
as.com,69337,381077,1.3254499435424805
autoinsquote.us,12904,79599,0.34285783767700195
chinadaily.com.cn,13313,60161,0.3963279724121094
kickstarter.com,22874,119014,0.6075263023376465
southwest.com,33890,226043,0.8380365371704102
baixing.com,9093,32119,0.3076481819152832
quickmeme.com,6265,24959,0.1926255226135254
120ask.com,35457,178501,0.7826495170593262
mtime.com,22353,87248,0.4366731643676758
today.com,17636,106314,0.4185032844543457
tribalfusion.com,1422,9249,0.06908655166625977
people.com,10351,44164,0.24245500564575195
steampowered.com,21673,202765,0.6260347366333008
yaolan.com,29271,133555,0.6638884544372559
kioskea.net,9693,49431,0.3404378890991211
360doc.com,22252,91955,0.5893087387084961
asos.com,25463,102033,0.5500006675720215
meilishuo.com,20375,94609,0.4620695114135742
kohls.com,35987,212085,0.986945629119873
overstock.com,21999,112474,0.5638527870178223
beva.com,14084,61516,0.3207850456237793
ilmeteo.it,26196,115623,0.6021904945373535
pornoxo.com,10778,80653,0.3532886505126953
livestrong.com,13654,66442,0.3355550765991211
zendesk.com,10783,45679,0.3230905532836914
